,0,1
0,"[1.0, 2.0, 3.0, 4.6439415106640585]","[4.161764705882353, 4.113846153846154, 4.20662347012239, 4.12042469963677]"
1,"[3.0, 2.0, 4.17064393939394, 1.0]","[4.170920778975232, 4.281969309462916, 4.028219696969697, 4.326039387308534]"
2,"[1.0, 4.23062243100411, 2.8304371684653375]","[4.297029702970297, 4.043452730475631, 4.229193341869398]"
3,"[1.0, 2.0, 3.4639954097733576]","[4.1247672253258845, 4.038920276208412, 4.14440087979344]"
4,"[3.0, 4.131321370309951, 2.0, 1.0]","[4.171058134671686, 4.062805872756933, 4.133646245059288, 4.0809636650868875]"
5,"[2.0, 3.0, 4.165191740412979, 1.0]","[4.007745617611088, 4.187022900763359, 4.138315306456899, 4.09325246398787]"
6,"[2.0, 4.4661288754981046, 3.0, 1.0]","[4.3420289855072465, 4.094275439790067, 4.270152505446623, 4.475409836065574]"
7,"[3.0, 1.0, 2.0, 4.3763089005235605]","[4.31233790292701, 4.49738219895288, 4.487712665406427, 4.048429319371728]"
8,"[1.0, 3.391020271402245, 2.0]","[4.493360995850622, 3.9961467582509633, 4.326111744583809]"
9,"[1.0, 4.155544147843942, 2.5480981595092023]","[4.492152466367713, 3.828542094455852, 4.2171779141104295]"
10,"[5.0, 1.0, 3.0209395080877464]","[3.389416553595658, 4.5931326434619, 4.165743407932639]"
11,"[2.0, 4.404291845493562, 3.0, 1.0]","[4.361581920903955, 4.07392703862661, 4.256987577639752, 4.54601226993865]"
12,"[1.0, 5.0, 2.6988985838935773, 4.0]","[4.462686567164179, 3.701399688958009, 4.288084680303247, 4.025428740390302]"
