,0,1
0,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.286764705882353, 1.2598187311178248, 1.310099573257468, 1.2385154425123281, 1.2010589582140814]"
1,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.290948275862069, 1.2600755667506298, 1.2332459752901535, 1.2025373810602629, 1.2156215621562156]"
2,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.3149350649350648, 1.2902881536819637, 1.2452542003054767, 1.2114112979406764, 1.170654911838791]"
3,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.3418181818181818, 1.2995018679950188, 1.2289778055642389, 1.1784147411523838, 1.1862348178137652]"
4,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.2557684786859602, 1.2165729650452213, 1.2235561995446078, 1.2031686859273065, 1.2699386503067485]"
5,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.2907324364723467, 1.246868686868687, 1.2261332417582418, 1.1777777777777778, 1.21484375]"
6,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.4193548387096775, 1.3732193732193732, 1.3394396551724137, 1.2273794473541628, 1.1673881673881674]"
7,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.4712041884816753, 1.3808630393996248, 1.3196480938416422, 1.2112919986144788, 1.1428161743619156]"
8,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.2603866721513781, 1.218705849109918, 1.2227809906965048, 1.2036199095022624, 1.1561461794019934]"
9,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.2811804008908685, 1.2337102854065698, 1.217766947275144, 1.170935080405003, 1.1785714285714286]"
10,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.2458022388059702, 1.2251065478496708, 1.2378162450066579, 1.2047413793103448, 1.1710875331564987]"
11,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.4484848484848485, 1.3495327102803738, 1.3096427199385325, 1.2232923131799536, 1.1484108221696874]"
12,"[1.0, 2.0, 3.0, 4.0, 5.0]","[1.3318284424379232, 1.2518796992481203, 1.2296146044624747, 1.1818181818181819, 1.1781874039938556]"
