,activity,US,CN,AU,DE,ES,IT,JP,KR,MX,UK,SE
0,1,663,437,591,637,1276,620,555,648,649,4477,587
3,2,443,259,392,292,967,435,407,465,536,2712,233
4,3,49,459,120,53,851,435,544,657,196,822,50
5,4,618,380,446,598,1187,567,501,565,589,4108,479
6,5,432,326,351,478,1124,501,313,365,391,3704,408
7,6,583,353,408,505,1082,436,371,474,510,3732,426
8,7,476,216,330,357,831,412,208,336,435,2699,312
9,8,438,260,293,292,1029,486,275,376,358,3428,248
10,9,521,326,347,321,878,404,223,354,424,3014,256
1,10,363,120,206,183,636,381,170,176,350,2622,194
2,11,482,135,243,220,585,261,203,155,301,1842,202
