attribute,count,unique,top,freq
EndDate,12802,11767,2020-03-22T14:54:13Z,7
Residency,12802,11,UK,5109
prep,12649,1666,"1,2,3,4,5,6,7,8,9,10,11",637
DemGen,12802,4,1.0,6479
quota_age,12796,6,4.0,2441
GenSocTrust,12789,7,5.0,2843
Trustingroups_1,12794,5,5.0,7031
Trustingroups_2,12797,5,3.0,5372
Trustingroups_3,12789,5,4.0,5319
Trustingroups_4,12794,5,3.0,6432
Trustingroups_5,12795,5,3.0,4855
Trustingroups_6,12794,5,3.0,5857
Trustingroups_7,12799,5,4.0,5574
Trustingroups_8,12793,5,4.0,5818
Trustingroups_9,12094,5,3.0,4005
Trustingroups_10,12089,5,3.0,4545
Trustingroups_11,12096,5,3.0,3778
Trustingroups_12,12797,5,4.0,5644
Trustingroups_13,12094,5,3.0,4960
COVIDexp,12790,9,8.0,9895
COVIDeffect_1,12787,7,1.0,3456
COVIDeffect_2,12782,7,5.0,2495
COVIDeffect_3,12786,7,1.0,3558
COVIDeffect_4,12780,7,1.0,8829
SARS,12773,2,2.0,12256
CultCog_1,7664,6,3.0,2011
CultCog_2,7664,6,5.0,2373
CultCog_3,7664,6,1.0,1996
CultCog_4,7664,6,3.0,1818
CultCog_5,7665,6,4.0,2134
CultCog_6,7665,6,4.0,2240
prosocial,12756,7,5.0,3475
CanadaQ_1,12753,5,5.0,7379
CanadaQ_2,12751,5,3.0,5961
CanadaQ_3,12749,5,1.0,4793
FinitePool_1,12751,7,7.0,2937
FinitePool_2,12747,7,7.0,5164
FinitePool_3,12052,7,4.0,3042
FinitePool_4,12753,7,4.0,2612
FinitePool_5,12750,7,7.0,3020
FinitePool_6,12753,7,5.0,2667
FinitePool_7,12754,7,5.0,2930
FinitePool_8,12753,7,5.0,3256
Longitude_1,12755,7,7.0,3600
Longitude_2,12755,7,4.0,2258
Longitude_3,12751,7,1.0,4265
Personal_1,12749,7,4.0,3036
Personal_2,12747,7,4.0,2397
Personal_3,12750,7,1.0,3410
Personal_4,12750,7,4.0,2752
Personal_5,12750,7,4.0,2970
Personal_6,12048,7,4.0,2517
Personal_7,12747,7,1.0,4512
Personal_8,12751,7,4.0,3493
Friends_1,12739,7,4.0,3076
Friends_2,12738,7,5.0,2688
Friends_3,12741,7,1.0,2816
Friends_4,12740,7,4.0,2906
Friends_5,12739,7,4.0,2953
Friends_6,12038,7,4.0,2750
Friends_7,12735,7,1.0,3851
Friends_8,12741,7,4.0,3246
MediaExp_1,12728,2,1.0,6756
MediaExp_2,12728,2,1.0,9506
MediaExp_3,12727,2,1.0,11809
MediaExp_4,12728,2,1.0,11521
MediaExp_5,12722,2,1.0,7688
MediaExp_6,12728,2,1.0,10727
MediaExp_7,12722,2,1.0,9837
PosterstrustQ1,6130,7,6.0,1901
SocialmediatrustQ1,9441,7,4.0,2495
journalisttrustQ1,11104,7,5.0,3143
govtrustQ1,10864,7,6.0,3182
workplacetrustQ1,7643,7,6.0,2111
FriendstrustQ1,10674,7,4.0,2829
WHOtrustQ1,9789,7,7.0,3020
Soughtinfo,12685,2,1.0,8854
Govresponse_1,11932,7,5.0,2973
Govresponse_2,11933,7,5.0,2480
Govresponse_3,11933,7,6.0,3413
Govresponse_4,11928,7,5.0,3165
Govresponse_5,11925,7,6.0,2986
Govresponse_6,11920,7,5.0,2709
Govresponse_7,11921,7,6.0,3295
Govresponse_8,11919,7,5.0,3107
Govresponse_9,11924,7,6.0,2985
Govrestrict_1,11912,8,1.0,3107
Govrestrict_2,11904,8,4.0,2728
Govrestrict_3,11901,8,4.0,2731
Sciunderstand,12544,7,5.0,4037
KnowledgeCert_1,12608,7,3.0,4275
KnowledgeCert_2,12595,7,3.0,3100
Vaccine_1,8203,2,1.0,6617
Vaccine_2,8197,2,1.0,7097
NumeracyQ1,12444,3,1.0,10790
DemAge,12430,88,48.0,288
DemEdu,12483,6,4.0,4846
DemHealthcare,12482,2,2.0,11634
Ethnic min,12486,3,2.0,10130
Politics,11772,8,4.0,4000
