,Residency,Num1,Num2a,Num2b,Num3
1,AU,0.4,0.2,,
2,AU,0.6,0.6,,
3,AU,0.25,,0.257143,0.25
4,AU,0.05,0.5,,
5,AU,0.45,0.5,,
6,AU,0.1,0.6,,
7,AU,0.25,,0.314286,0.2
8,AU,0.5,0.06,,
9,AU,0.1,0.6,,
10,AU,0.6,0.5,,
11,AU,0.15,0.6,,
12,AU,0.25,,0.285714,
13,AU,0.05,1.0,,
14,AU,0.3,0.04,,
15,AU,0.1,0.6,,
16,AU,0.4,0.6,,
17,AU,0.2,0.32,,
18,AU,0.1,0.6,,
19,AU,0.3,0.06,,
20,AU,0.1,0.1,,
21,AU,0.3,0.6,,
22,AU,0.75,0.06,,
23,AU,0.3,1.0,,
24,AU,0.8,0.7,,
25,AU,0.5,1.0,,
26,AU,0.3,0.02,,
27,AU,0.25,,0.5,0.2
28,AU,0.2,0.06,,
29,AU,0.2,0.1,,
30,AU,0.05,0.06,,
31,AU,0.4,0.6,,
32,AU,0.33,0.6,,
33,AU,0.1,0.6,,
34,AU,0.3,0.1,,
35,AU,0.25,,0.071429,0.75
36,AU,0.4,1.0,,
37,AU,0.05,0.1,,
38,AU,0.08,0.6,,
39,AU,0.13,0.1,,
40,AU,0.4,0.6,,
41,AU,0.1,0.4,,
42,AU,0.3,0.42,,
43,AU,,,,
44,AU,0.4,0.1,,
45,AU,0.5,0.7,,
46,AU,0.34,0.8,,
47,AU,0.1,0.6,,
48,AU,0.5,0.1,,
49,AU,0.1,0.1,,
50,AU,0.005,0.6,,
51,AU,0.25,,0.0,0.0
52,AU,0.4,0.6,,
53,AU,1.0,0.02,,
54,AU,0.4,0.6,,
55,AU,0.2,0.06,,
56,AU,0.5,1.0,,
57,AU,0.1,0.6,,
58,AU,0.2,0.6,,
59,AU,0.5,0.5,,
60,AU,0.1,0.2,,
61,AU,0.4,0.6,,
62,AU,0.1,0.6,,
63,AU,0.3,0.6,,
64,AU,0.5,0.6,,
65,AU,0.24,0.1,,
66,AU,0.4,0.1,,
67,AU,0.8,0.6,,
68,AU,0.25,,0.2,0.95
69,AU,0.4,0.1,,
70,AU,0.2,0.2,,
71,AU,0.2,0.4,,
72,AU,0.15,0.06,,
73,AU,0.05,,,
74,AU,0.33,0.66,,
75,AU,0.33,0.6,,
76,AU,0.5,0.7,,
77,AU,0.25,,0.428571,0.2
78,AU,0.05,0.5,,
79,AU,0.1,0.1,,
80,AU,0.13,0.68,,
81,AU,0.1,0.06,,
82,AU,0.6,0.1,,
83,AU,0.1,0.5,,
84,AU,0.16,0.2,,
85,AU,0.1,0.7,,
86,AU,0.1,0.6,,
87,AU,0.1,0.6,,
88,AU,0.25,,0.285714,
89,AU,0.05,0.2,,
90,AU,0.1,0.14,,
91,AU,0.4,0.5,,
92,AU,0.1,0.6,,
93,AU,0.1,0.1,,
94,AU,0.25,,0.5,0.1
95,AU,0.003,0.012,,
96,AU,0.1,0.6,,
97,AU,0.5,1.0,,
98,AU,0.05,0.1,,
99,AU,0.5,0.1,,
100,AU,0.05,0.6,,
101,AU,0.3,0.6,,
102,AU,0.1,0.6,,
103,AU,0.65,0.8,,
104,AU,0.2,0.5,,
105,AU,0.4,0.6,,
106,AU,0.4,0.2,,
107,AU,0.05,1.0,,
108,AU,0.25,,0.171429,0.9
109,AU,0.08,0.24,,
110,AU,0.2,0.6,,
111,AU,0.25,,0.328571,0.04
112,AU,0.01,0.1,,
113,AU,0.4,0.6,,
114,AU,0.3,0.6,,
115,AU,0.2,0.6,,
116,AU,0.1,0.6,,
117,AU,0.75,0.34,,
118,AU,0.05,0.1,,
119,AU,0.4,0.6,,
120,AU,0.1,0.5,,
121,AU,0.2,0.5,,
122,AU,0.01,0.5,,
123,AU,0.1,0.6,,
124,AU,0.25,,0.285714,
125,AU,0.2,0.6,,
126,AU,0.12,0.06,,
127,AU,0.1,0.6,,
128,AU,,,,
129,AU,0.2,0.06,,
130,AU,1.0,0.5,,
131,AU,0.6,0.3,,
132,AU,0.1,0.6,,
133,AU,0.5,0.1,,
134,AU,0.25,,0.285714,
135,AU,0.01,0.06,,
136,AU,0.05,0.5,,
137,AU,0.05,0.1,,
138,AU,0.5,0.6,,
139,AU,0.5,0.06,,
140,AU,0.25,,0.5,0.12
141,AU,0.25,,0.085714,0.2
142,AU,0.5,0.06,,
