DemGen, binary
quota_age, ordinal
Residency, nominal
GenSocTrust, ordinal
Trustingroups, ordinal
COVIDexp, nominal
COVIDeffect, ordinal
SARS, binary
CultCog, ordinal
prosocial, ordinal
CanadaQ, ordinal
FinitePool, ordinal
Longitude, ordinal
Personal, ordinal
Friends, ordinal
MediaExp, binary
PosterstrustQ1, ordinal
SocialmediatrustQ1, ordinal
journalisttrustQ1, ordinal
govtrustQ1, ordinal
workplacetrustQ1, ordinal
FriendstrustQ1, ordinal
WHOtrustQ1, ordinal
Soughtinfo, binary
prep, nominal
Govresponse, ordinal
Govrestrict, nominal
Sciunderstand, ordinal
KnowledgeCert, ordinal
Vaccine, binary
Num1, numeric
Num2a, numeric
Num2b, numeric
Num3, numeric
NumeracyQ1, ordinal
DemAge, numeric
DemEdu, ordinal
DemHealthcare, binary
Ethnic min, nominal
Politics, ordinal
