,0
index,0
EndDate,End Date (GMT)
DemGen,What is your gender?
quota_age,What is your age?
Residency,List of Countries
GenSocTrust,"Generally speaking, would you say most people can be trusted, or that you can't be too careful in dealing with people?"
Trustingroups_1,How much do you trust each of the following? - People in your family
Trustingroups_2,How much do you trust each of the following? - People in your neighbourhood
Trustingroups_3,How much do you trust each of the following? - People you work or study with
Trustingroups_4,How much do you trust each of the following? - People who speak a different language from you
Trustingroups_5,How much do you trust each of the following? - Strangers
Trustingroups_6,How much do you trust each of the following? - Immigrants
Trustingroups_7,How much do you trust each of the following? - Medical doctors and nurses
Trustingroups_8,How much do you trust each of the following? - Scientists
Trustingroups_9,How much do you trust each of the following? - Politicians in the country you are living in
Trustingroups_10,How much do you trust each of the following? - Journalists
Trustingroups_11,How much do you trust each of the following? - The current government of the country you are living in
Trustingroups_12,How much do you trust each of the following? - Scientific knowledge
Trustingroups_13,How much do you trust each of the following? - Civil servants or public officials in the country you are living in
COVIDexp,"Have you ever had, or thought you might have, the coronavirus/COVID-19?"
COVIDeffect_1,To what extent have you been affected by the coronavirus/COVID-19 in the following ways? - I have experienced financial difficulties as a result of the pandemic
COVIDeffect_2,To what extent have you been affected by the coronavirus/COVID-19 in the following ways? - I have experienced social difficulties as a result of the pandemic
COVIDeffect_3,To what extent have you been affected by the coronavirus/COVID-19 in the following ways? - I have experienced mental health difficulties as a result of the pandemic (e.g. increased anxiety)
COVIDeffect_4,To what extent have you been affected by the coronavirus/COVID-19 in the following ways? - I have friends/family who have tested positive or died from the virus
SARS,"Have you personally been affected by a previous similar epidemic such as SARS (Severe Acute Respiratory Syndrome), MERS (Middle East Respiratory Syndrome) or Ebola?"
CultCog_1,"People often disagree about how far to let individuals go in making decisions for themselves.



How strongly do you agree or disagree with each of these statements? - The government interferes far too much in our everyday lives."
CultCog_2,"People often disagree about how far to let individuals go in making decisions for themselves.



How strongly do you agree or disagree with each of these statements? - Sometimes government needs to make laws that keep people from hurting themselves."
CultCog_3,"People often disagree about how far to let individuals go in making decisions for themselves.



How strongly do you agree or disagree with each of these statements? - It's not the government's business to try to protect people from themselves."
CultCog_4,"People often disagree about how far to let individuals go in making decisions for themselves.



How strongly do you agree or disagree with each of these statements? - The government should stop telling people how to live their lives."
CultCog_5,"People often disagree about how far to let individuals go in making decisions for themselves.



How strongly do you agree or disagree with each of these statements? - The government should do more to advance society's goals, even if that means limiting the freedom and choices of individuals."
CultCog_6,"People often disagree about how far to let individuals go in making decisions for themselves.



How strongly do you agree or disagree with each of these statements? - Government should put limits on the choices individuals can make so they don't get in the way of what's good for society."
prosocial,To what extent do you think it’s important to do things for the benefit of others and society even if they have some costs to you personally?
CanadaQ_1,How much do you agree or disagree with the following statements? - Getting sick with the coronavirus/COVID-19 can be serious.
CanadaQ_2,How much do you agree or disagree with the following statements? - I will probably get sick with the coronavirus/COVID-19.
CanadaQ_3,How much do you agree or disagree with the following statements? - The coronavirus/COVID-19 will NOT affect very many people in the country I'm currently living in.
FinitePool_1,How worried are you personally about the following issues at present? - Climate change
FinitePool_2,How worried are you personally about the following issues at present? - Coronavirus/COVID-19
FinitePool_3,How worried are you personally about the following issues at present? - Political disagreement
FinitePool_4,How worried are you personally about the following issues at present? - Immigration
FinitePool_5,How worried are you personally about the following issues at present? - Unemployment
FinitePool_6,How worried are you personally about the following issues at present? - Terrorism
FinitePool_7,How worried are you personally about the following issues at present? - Air pollution
FinitePool_8,How worried are you personally about the following issues at present? - Crime
Longitude_1,"Thinking back, how worried were you about coronavirus/COVID-19... - 1 week ago?"
Longitude_2,"Thinking back, how worried were you about coronavirus/COVID-19... - 1 month ago?"
Longitude_3,"Thinking back, how worried were you about coronavirus/COVID-19... - 2 months ago?"
Personal_1,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Crime
Personal_2,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Financial problems
Personal_3,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Discrimination
Personal_4,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Indecent or antisocial behaviour by others
Personal_5,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Injustice
Personal_6,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Corruption or fraud
Personal_7,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Immigration
Personal_8,How likely do you think it is that you will be directly and personally affected by the following in the next 6 months? - Catching the coronavirus/COVID-19
Friends_1,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Crime
Friends_2,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Financial problems
Friends_3,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Discrimination
Friends_4,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Indecent or antisocial behaviour by others
Friends_5,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Injustice
Friends_6,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Corruption or fraud
Friends_7,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Immigration
Friends_8,How likely do you think it is that your friends and family in the country you are currently living in will be directly affected by the following in the next 6 months? - Catching the coronavirus/COVID-19
MediaExp_1,Have you come across information about coronavirus/COVID-19 from: - Official public posters
MediaExp_2,Have you come across information about coronavirus/COVID-19 from: - Social media or online blogs from individuals
MediaExp_3,"Have you come across information about coronavirus/COVID-19 from: - Journalists and commentators in the media (TV, radio, newspapers)"
MediaExp_4,Have you come across information about coronavirus/COVID-19 from: - Government or official sources such as websites or public speeches/broadcasts within the country you are living in
MediaExp_5,Have you come across information about coronavirus/COVID-19 from: - Official messages from your place of work or education
MediaExp_6,Have you come across information about coronavirus/COVID-19 from: - Friends and family
MediaExp_7,Have you come across information about coronavirus/COVID-19 from: - World Health Organisation
PosterstrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw on official public posters, how much did you trust the information?"
SocialmediatrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw on social media, how much did you trust the information?"
journalisttrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw from journalists and commentators in the media, how much did you trust the information?"
govtrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw from the government or official sources in the country you are living in, how much did you trust the information?"
workplacetrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw from official messages from your place of work or education, how much did you trust the information?"
FriendstrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw from friends and family, how much did you trust the information?"
WHOtrustQ1,"Thinking about the coronavirus/COVID-19 information that you saw from the World Health Organisation, how much did you trust the information?"
Soughtinfo,Have you sought out information specifically about coronavirus/COVID-19?
prep,"Which of the following steps, if any, have you taken in the last month to prepare for the possibility of many cases of the coronavirus/COVID-19 in your community? Select all that apply."
Govresponse_1,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How much do you feel you understand the government’s strategy to deal with the coronavirus/COVID-19 pandemic?
Govresponse_2,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How much do you trust the country’s politicians to deal effectively with the pandemic?
Govresponse_3,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How much do you trust the country’s national scientific and medical advisors to know the best measures to take in the face of the pandemic?
Govresponse_4,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How much do you trust experts who are not connected with the government who are commenting on measures planned for the pandemic?
Govresponse_5,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How much do you trust the World Health Organisation to know the best measures to take in the face of the pandemic?
Govresponse_6,"Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How effective do you think the official response has been up until now in the country you are living in, in dealing with the pandemic?"
Govresponse_7,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - To what extent do you feel that the personal actions you are taking to try to limit the spread of coronavirus make a difference?
Govresponse_8,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - To what extent do you feel the actions that your country is taking to limit the spread of coronavirus make a difference?
Govresponse_9,Please rate your answers to the following questions.Each rating should be in relation to the response in the country you are living in: - How much do you feel you have enough information from the government to take the necessary actions to minimise your risk from coronavirus?
Govrestrict_1,What do you think of the planned response from the government in the country you are living in? - I think the response in the past few weeks was...
Govrestrict_2,What do you think of the planned response from the government in the country you are living in? - I think the planned response in the next few weeks is...
Govrestrict_3,What do you think of the planned response from the government in the country you are living in? - I think the planned response for the next few months is...
Sciunderstand,To what extent do you think scientists have a good understanding of the coronavirus/COVID-19?
KnowledgeCert_1,How certain or uncertain do you think the following are: - The current scientific knowledge about the coronavirus/COVID-19?
KnowledgeCert_2,How certain or uncertain do you think the following are: - The estimates of the number of cases of coronavirus/COVID-19 worldwide
Vaccine_1,If a vaccine were to be available for the coronavirus/COVID-19 now: - Would you get vaccinated yourself?
Vaccine_2,If a vaccine were to be available for the coronavirus/COVID-19 now: - Would you recommend vulnerable friends/family to get vaccinated?
Num1,"Out of 1,000 people in a small town 500 are members of a choir.

Out of these 500 members in the choir 100 are men.

Out of the 500 inhabitants that are not in the choir 300 are men.



What is the probability that a randomly drawn man is a member of the choir?

Please indicate the probability in percent.



____ %"
